Container_ID,Destination,Goods,Container_Length,Actual_Weight,Shipping_Company
C000001,Denmark,Ceramics,40,27009,SM Line
C000002,Denmark,Garments,40,26637,X-Press Feeders
C000003,Taiwan,Fertilizer,53,34284,Emirates Shipping Line
C000004,Colombia,Tea,53,34024,Hyundai Merchant Marine (HMM)
C000005,Poland,Frozen Meat,45,28654,K Line
C000006,United Arab Emirates,Solar Panels,20,21950,Matson Navigation
C000007,Russia,Rubber,48,32899,CMA CGM
C000008,Oman,Rice,20,22021,Unifeeder
C000009,Norway,Semiconductors,53,34010,Mediterranean Shipping Company (MSC)
C000010,Vietnam,Cement,20,21767,COSCO Shipping
C000011,Netherlands,Lithium Batteries,20,21681,Unifeeder
C000012,South Africa,Rice,45,28823,Unifeeder
C000013,Saudi Arabia,Granite,40,27001,Grimaldi Lines
C000014,France,Corn,20,22101,Safmarine
C000015,Spain,Cement,45,29208,Baltic Shipping Company
C000016,South Africa,Garments,48,32383,Iran Shipping Lines
C000017,Netherlands,Semiconductors,45,28857,PIL (Pacific International Lines)
C000018,Germany,Electronics,40,27087,Mediterranean Shipping Company (MSC)
C000019,Argentina,Sugar,20,22012,Maersk
C000020,Ukraine,Food Products,53,34028,North Korea Shipping Corporation
C000021,Saudi Arabia,Paper,48,32990,Mitsui O.S.K. Lines (MOL)
C000022,Turkey,Cement,40,26482,Hapag-Lloyd
C000023,Indonesia,Chemicals,20,21708,Grimaldi Lines
C000024,China,Electronics,45,29081,Hapag-Lloyd
C000025,United Kingdom,Electrical Cables,53,34093,ZIM Integrated Shipping Services
C000026,Norway,Solvents,53,33739,Nippon Yusen Kaisha (NYK)
C000027,Italy,Vaccines,53,34328,Maersk
C000028,Malaysia,Plastic Granules,48,32459,Maersk
C000029,Greece,Lubricants,20,21681,Hyundai Merchant Marine (HMM)
C000030,Egypt,Tea,40,26637,Maersk
C000031,Belgium,Glass,40,26450,Wan Hai Lines
C000032,Vietnam,Marble,40,27100,Seaboard Marine
C000033,Australia,Vehicles,48,32407,Evergreen Marine
C000034,Chile,Lubricants,20,21660,Yang Ming Marine
C000035,Portugal,Vegetables,53,33757,Maersk
C000036,Philippines,Automobile Parts,48,32777,TS Lines
C000037,Indonesia,Electronics,48,32627,Evergreen Marine
C000038,Portugal,Vehicles,48,32390,Res Trans-Logis
C000039,Greece,Textiles,40,26684,Bahri
C000040,Italy,Vehicles,40,26878,Emirates Shipping Line
C000041,Thailand,Solvents,20,21475,Sinokor Merchant Marine
C000042,Brazil,Petroleum Products,45,28933,Black Sea Shipping
C000043,South Africa,Garments,40,27164,Hapag-Lloyd
C000044,Spain,Heavy Machinery,40,27140,Roy Shipping Agency
C000045,United Arab Emirates,Scientific Instruments,45,29055,Hapag-Lloyd
C000046,Poland,Automobile Parts,40,26564,Mediterranean Shipping Company (MSC)
C000047,Belgium,Seafood,53,33788,K Line
C000048,Colombia,Industrial Chemicals,53,33629,Iran Shipping Lines
C000049,Peru,Rice,40,27163,Roy Shipping Agency
C000050,Italy,Mobile Phones,48,32658,Hyundai Merchant Marine (HMM)
C000051,Saudi Arabia,Copper,20,21828,Mediterranean Shipping Company (MSC)
C000052,Argentina,Furniture,53,33808,Baltic Shipping Company
C000053,Germany,Steel Coils,45,29400,K Line
C000054,Turkey,Coal,45,28896,Hyundai Merchant Marine (HMM)
C000055,Greece,Scientific Instruments,40,27040,Hapag-Lloyd
C000056,Thailand,Sand,48,32396,Yang Ming Marine
C000057,Norway,Medical Equipment,40,26614,Hyundai Merchant Marine (HMM)
C000058,Ukraine,Footwear,40,26397,Hamburg Süd
C000059,India,Semiconductors,53,33932,Mitsui O.S.K. Lines (MOL)
C000060,Brazil,Scientific Instruments,48,32559,Bahri
C000061,Japan,Cotton,40,26582,Crowley Maritime
C000062,Ukraine,Semiconductors,53,33781,Baltic Shipping Company
C000063,South Africa,Automobile Parts,53,33980,Yang Ming Marine
C000064,United Arab Emirates,Petroleum Products,53,33721,ZIM Integrated Shipping Services
C000065,Sweden,Petroleum Products,45,29191,Syrian Shipping Lines
C000066,Indonesia,Scientific Instruments,20,21729,Maersk
C000067,Greece,Paper,40,26632,Matson Navigation
C000068,Russia,Ceramics,20,21860,Evergreen Marine
C000069,Pakistan,Solvents,53,34355,Syrian Shipping Lines
C000070,United Arab Emirates,Food Products,20,21814,Mitsui O.S.K. Lines (MOL)
C000071,Egypt,Industrial Tools,40,26595,North Korea Shipping Corporation
C000072,Poland,Copper,48,32448,APL
C000073,Argentina,Copper,48,32907,Nippon Yusen Kaisha (NYK)
C000074,Belgium,Coal,45,28912,PIL (Pacific International Lines)
C000075,Japan,Natural Gas Equipment,20,21760,Hamburg Süd
C000076,Qatar,Sand,45,28826,Nippon Yusen Kaisha (NYK)
C000077,United Arab Emirates,Chemicals,45,28813,Baltic Shipping Company
C000078,United Kingdom,Coal,48,32481,X-Press Feeders
C000079,Morocco,Industrial Chemicals,48,32637,Seaboard Marine
C000080,Australia,Computers,53,34085,Mediterranean Shipping Company (MSC)
C000081,New Zealand,Timber,40,26823,CMA CGM
C000082,Norway,Scientific Instruments,20,21444,Grimaldi Lines
C000083,China,Coffee,40,26533,Sinokor Merchant Marine
C000084,New Zealand,Rubber,45,28818,Nippon Yusen Kaisha (NYK)
C000085,New Zealand,Coal,40,26797,CMA CGM
C000086,Belgium,Plastic Granules,48,32895,Unifeeder
C000087,Kenya,Tea,20,21390,ZIM Integrated Shipping Services
C000088,Hong Kong,Solvents,53,33855,PIL (Pacific International Lines)
